Winner,Final Score Away,Final Score Home,Final Score Difference,Half Score Away,Half Score Home,Half Score Difference,Away FGA,Home FGA,Away FG,Home FG,Away 3PT,Home 3PT,Away EFG,Home EFG,Away Pos,Home Pos,Away TO,Home TO,Away TPP,Home TPP,Away OR,Home OR,Away DR,Home DR,Away ORP,Home ORP,Away DRP,Home DRP,Away DTPP,Home DTPP
Home,86,100,-14,42,57,-15,43,41,17,21,6,6,0.4651162790697674,0.5853658536585366,42,44,9,7,0.2142857142857142,0.1590909090909091,8,9,15,19,0.3076923076923077,0.45,0.75,0.7307692307692307,0.1666666666666666,0.2045454545454545
Away,117,107,10,60,47,13,49,54,21,18,4,7,0.4693877551020408,0.3981481481481481,51,44,6,6,0.1176470588235294,0.1363636363636363,12,11,29,20,0.4285714285714285,0.3055555555555556,0.8055555555555556,0.7142857142857143,0.1176470588235294,0.1363636363636363
Away,127,123,4,71,67,4,53,51,29,27,7,7,0.6132075471698113,0.5980392156862745,47,48,5,5,0.1063829787234042,0.1041666666666666,10,11,16,14,0.4166666666666667,0.4583333333333333,0.6666666666666666,0.5833333333333334,0.1063829787234042,0.1041666666666666
Away,119,118,1,65,58,7,54,52,25,26,5,4,0.5092592592592593,0.5384615384615384,53,49,5,10,0.0943396226415094,0.2040816326530612,10,10,18,19,0.3448275862068966,0.3846153846153846,0.6923076923076923,0.6551724137931034,0.1886792452830188,0.1020408163265306
Away,121,98,23,58,52,6,52,49,24,20,5,4,0.5096153846153846,0.4489795918367347,51,53,11,8,0.2156862745098039,0.1509433962264151,12,7,25,19,0.4285714285714285,0.2413793103448276,0.8620689655172413,0.6785714285714286,0.1568627450980392,0.2075471698113207
Home,123,128,-5,58,76,-18,48,42,20,26,7,12,0.4895833333333333,0.7619047619047619,48,49,4,7,0.0833333333333333,0.1428571428571428,5,2,17,26,0.1785714285714285,0.125,1.0625,0.9285714285714286,0.1458333333333333,0.0816326530612244
Home,132,138,-6,49,56,-7,45,42,21,20,4,6,0.5111111111111111,0.5476190476190477,43,48,9,6,0.2093023255813953,0.125,6,6,19,20,0.25,0.2727272727272727,0.8636363636363636,0.8333333333333334,0.1395348837209302,0.1875
Away,134,131,3,45,62,-17,49,43,15,21,7,12,0.3775510204081632,0.627906976744186,48,47,10,10,0.2083333333333333,0.2127659574468085,12,5,17,22,0.3529411764705882,0.2272727272727272,0.7727272727272727,0.6470588235294118,0.2083333333333333,0.2127659574468085
Home,95,122,-27,48,67,-19,47,47,17,26,7,9,0.4361702127659574,0.648936170212766,43,43,2,3,0.0465116279069767,0.0697674418604651,7,8,15,24,0.2333333333333333,0.3809523809523809,0.7142857142857143,0.8,0.0697674418604651,0.0465116279069767
Home,114,116,-2,61,67,-6,45,46,23,29,8,4,0.6,0.6739130434782609,47,47,4,5,0.0851063829787234,0.1063829787234042,2,5,14,22,0.0909090909090909,0.2941176470588235,0.8235294117647058,1.0,0.1063829787234042,0.0851063829787234
